symbol,date,open,high,low,close,volume,daily_return_pct,moving_avg_7d,moving_avg_30d,volatility_7d,performance_label,trend_signal
AAPL,2026-03-27,253.69,255.493,248.07,248.8,46693036,-1.6173,250.63,258.88,0.9177,loss,below 30d average
AAPL,2026-03-27,253.69,255.493,248.07,248.8,46693036,-1.6173,250.63,258.88,0.9177,loss,below 30d average
AAPL,2026-03-27,253.69,255.493,248.07,248.8,46693036,-1.6173,250.63,258.88,0.9177,loss,below 30d average
AAPL,2026-03-27,253.69,255.493,248.07,248.8,46693036,-1.6173,250.63,258.88,0.9177,loss,below 30d average
GOOGL,2026-03-27,277.41,279.37,273.95,274.34,35723613,-2.3423,292.4,303.16,1.7365,strong loss,below 30d average
GOOGL,2026-03-27,277.41,279.37,273.95,274.34,35723613,-2.3423,292.4,303.16,1.7365,strong loss,below 30d average
GOOGL,2026-03-27,277.41,279.37,273.95,274.34,35723613,-2.3423,292.4,303.16,1.7365,strong loss,below 30d average
GOOGL,2026-03-27,277.41,279.37,273.95,274.34,35723613,-2.3423,292.4,303.16,1.7365,strong loss,below 30d average
MSFT,2026-03-27,361.88,362.425,356.51,356.77,37597816,-2.5139,374.34,393.94,1.1012,strong loss,below 30d average
MSFT,2026-03-27,361.88,362.425,356.51,356.77,37597816,-2.5139,374.34,393.94,1.1012,strong loss,below 30d average
MSFT,2026-03-27,361.88,362.425,356.51,356.77,37597816,-2.5139,374.34,393.94,1.1012,strong loss,below 30d average
MSFT,2026-03-27,361.88,362.425,356.51,356.77,37597816,-2.5139,374.34,393.94,1.1012,strong loss,below 30d average
AMZN,2026-03-27,206.32,206.42,199.14,199.34,55572238,-3.951,207.16,209.09,2.2666,strong loss,below 30d average
AMZN,2026-03-27,206.32,206.42,199.14,199.34,55572238,-3.951,207.16,209.09,2.2666,strong loss,below 30d average
AMZN,2026-03-27,206.32,206.42,199.14,199.34,55572238,-3.951,207.16,209.09,2.2666,strong loss,below 30d average
AMZN,2026-03-27,206.32,206.42,199.14,199.34,55572238,-3.951,207.16,209.09,2.2666,strong loss,below 30d average
META,2026-03-27,539.81,543.5999,520.26,525.72,29723252,-3.9851,580.78,629.31,3.1375,strong loss,below 30d average
META,2026-03-27,539.81,543.5999,520.26,525.72,29723252,-3.9851,580.78,629.31,3.1375,strong loss,below 30d average
META,2026-03-27,539.81,543.5999,520.26,525.72,29723252,-3.9851,580.78,629.31,3.1375,strong loss,below 30d average
META,2026-03-27,539.81,543.5999,520.26,525.72,29723252,-3.9851,580.78,629.31,3.1375,strong loss,below 30d average
